1;ALA;alanine;0.24;-2.32;0.6;-0.14;1.3
2;ARG;arginine;3.52;2.5;-3.5;1.99;-0.17
3;ASN;asparagine;3.05;1.62;1.04;-1.15;1.61
4;ASP;aspartic acid;3.98;0.93;1.93;-2.46;0.75
5;CYS;cysteine;0.84;-1.67;3.71;0.18;-2.65
6;GLN;glutamine;1.75;0.5;-1.44;-1.34;0.66
7;GLU;glutamic acid;3.11;0.26;-0.11;-3.04;-0.25
8;GLY;glycine;2.05;-4.06;0.36;-0.82;-0.38
9;HIS;histidine;2.47;1.95;0.26;3.9;0.09
10;ILE;isoleucine;-3.89;-1.73;-1.71;-0.84;0.26
11;LEU;leucine;-4.28;-1.3;-1.49;-0.72;0.84
12;LYS;lysine;2.29;0.89;-2.49;1.49;0.31
13;MET;methionine;-2.85;-0.22;0.47;1.94;-0.98
14;PHE;phenylalanine;-4.22;1.94;1.06;0.54;-0.62
15;PRO;proline;-1.66;0.27;1.84;0.7;2
16;SER;serine;2.39;-1.07;1.15;-1.39;0.67
17;THR;threonine;0.75;-2.18;-1.12;-1.46;-0.4
18;TRP;tryptophan;-4.36;3.94;0.59;3.44;-1.59
19;TYR;tyrosine;-2.54;2.44;0.43;0.04;-1.47
20;VAL;valine;-2.59;-2.64;-1.54;-0.85;-0.02
21;ACPA;R-aminocaprylic acid;-4.38;1.92;2.14;-2.61;-4.93
22;AECYS;(S)-2-aminoethyl-L-cysteine‚HCl;3.03;2.6;0.5;2.65;-1.55
23;AFA;aminophenylacetate;-3.51;2.93;2.94;1.17;1.22
24;AIBA;R-aminoisobytyric acid;-1.33;-2.8;-0.61;-0.55;0.4
25;AILE;alloisoleucine;-4.09;-1.28;-1.4;-0.63;0.94
26;ALG;L-allylglycine;-2.31;-1.35;-0.05;0.05;1.25
27;ABA;R-aminobutyric acid;-1.22;-2.44;-0.38;-0.51;0.65
28;APHE;p-aminophenylalanine;-0.62;3.28;-0.11;3.24;-1.51
29;BAL;β-alanine;2.16;-6.54;-4.46;-2.66;-5.93
30;BRPHE;p-bromophenylalanine;-5.62;3.18;0.29;0.54;-1.1
31;CHA;cyclohexylalanine;-6.26;0.3;-2.58;-0.67;1.01
32;CIT;citrulline;1.31;1.47;-2.76;-2.1;0.42
33;CLALA;β-chloroalanine;-0.66;0.3;2.65;-0.47;1.92
34;CLE;cycloleucine;-2.95;-2.16;-1.66;-0.65;0.19
35;CLPHE;p-chlorophenylalanine;-5.31;2.66;0.99;0.02;-1.76
36;CYA;cysteic acid;4.2;3.59;3.76;-5.09;-1.36
37;DAB;2,4-diaminobutyric acid;3.69;-0.53;-0.24;1.03;-0.15
38;DAP;2,3-diaminopropionic acid;4.34;-0.54;0.96;1.04;0.24
39;DHP;3,4-dehydroproline;-1.24;0.4;2.5;1.48;1.53
40;DHPHE;3,4-dihydroxyphenylalanine;-0.45;3.32;-0.07;-0.33;-1.95
41;FPHE;p-fluorophenylalanine;-4.58;2.26;1.28;-0.7;-1.58
42;GAA;D-glucoseaminic acid;4.9;3.91;-1.98;-4.18;0.89
43;HAG;homoarginine;2.7;3.06;-4.15;2.32;-0.46
44;HLYS;δ-hydroxylysine‚HCl;3.98;1.67;-2.51;0.32;0.08
45;HNVL;DL-β-hydroxynorvaline;-0.85;-1.08;-1.1;-1.73;-0.04
46;HOG;homoglutamine;1.33;1.19;-2.14;-1.61;0.59
47;HOPH;homophenylalanine;-5.86;2.95;0.37;1.03;0.32
48;HOS;homoserine;0.93;-0.71;-0.01;-1.58;0.94
49;HPR;hydroxyproline;-0.24;2.27;2.47;0.18;2.94
50;IPHE;p-iodophenylalanine;-6.23;6.88;3.01;1.52;1.05
51;ISE;isoserine;3.78;2.82;2.55;0.27;2.96
52;MLE;R-methylleucine;-5.4;-2.07;-2.86;-1.15;-0.27
53;MSMET;DL-methionine-s-methylsulfoniumchloride;1.22;1.89;-0.91;3.75;-1.25
54;1NALA;3-(1-naphthyl)alanine;-5.67;6.31;3.43;3.51;-0.47
55;2NALA;3-(2-naphthyl)alanine;-6.48;6.37;2.81;3.02;-0.49
56;NLE;norleucine (or 2-aminohexanoic acid);-4.33;-1.3;-1.54;-0.85;0.74
57;NMALA;N-methylalanine;-1.3;-3.13;-0.65;0.04;-0.16
58;NVA;norvaline (or 2-aminopentanoic acid);-3.08;-1.76;-0.98;-0.68;0.87
59;OBSER;O-benzylserine;-5.2;2.54;-0.6;0.32;-0.48
60;OBTYR;O-benzyltyrosine;-7.71;7.33;-1.81;2.39;0.11
61;OETYR;O-ethyltyrosine;-5.62;3.33;-0.75;0.71;-1.17
62;OMSER;O-methylserine;-1.02;-0.3;0.36;-0.97;1.7
63;OMTHR;O-methylthreonine;-1.75;-1.63;-1.55;-1.6;-0.2
64;OMTYR;O-methyltyrosine;-4.28;3.05;-0.03;0.72;-1.11
65;ORN;ornithine;3.09;0.17;-1.85;1.46;0.42
66;PEN;penicillamine;0.15;-0.76;0.42;0.67;-2.79
67;PGA;pyroglutamic acid;-3.56;2.88;2.82;1.09;3.1
68;PIP;pipecolic acid;-2.66;-2.29;-1.57;0.2;-0.39
69;SAR;sarcosine;0.3;-3.55;-0.09;0.29;-0.35
70;TFA;3,3,3-trifluoroalanine;-1.47;1.11;3.66;-4.7;2.13
71;THPHE;6-hydroxydopa;1.29;5.13;0.89;-0.93;-2.06
72;VIG;L-vinylglycine;-0.81;1.17;3.54;1.2;3.43
73;AASPA;(-)-(2R)-2-amino-3-(2-aminoethylsulfonyl)propanoic acid dihydrochloride;5.35;6.24;2.92;-1.44;-2.26
74;AHDNA;(2S)-2-amino-9-hydroxy-4,7-dioxanonanoic acid;-1.4;3.33;-2.51;-2.81;1.96
75;AHOHA;(2S)-2-amino-6-hydroxy-4-oxahexanoic acid;0.05;1.17;-0.74;-1.96;1.64
76;AHSOPA;(-)-(2R)-2-amino-3-(2-hydroxyethylsulfonyl)propanoic acid;3.01;5.82;3.85;-3.86;-1.72
77;AHSPA;(-)-(2R)-2-amino-3-(2-hydroxyethylsulfanyl)propanoic acid;-0.43;1.61;0.66;-0.21;-1.4
78;AHTDA;(2S)-2-amino-12-hydroxy-4,7,10-trioxadodecanoic acid;-2.72;5.23;-4.36;-3.62;2.07
79;DADNA;(2S)-2,9-diamino-4,7-dioxanonanoic acid;2.02;3.79;-3.05;0.06;0.7
80;DATDA;(2S)-2,12-diamino-4,7,10-trioxadodecanoic acid;0.87;6.12;-4.66;-0.7;1.14
81;DFNL;(S)-5,5-difluoronorleucine;-4.24;-0.29;-1.66;-2.94;1.01
82;DFNV;(S)-4,4-difluoronorvaline;-3.04;0.55;0.58;-1.99;2.17
83;DTCA;(3R)-1-1-dioxo-[1,4]thiaziane-3-carboxylic acid;0.31;3.32;3.48;-2.87;-2.42
84;HFNL;(S)-4,4,5,5,6,6,6-heptafluoronorleucine;-4.22;3.19;1.81;-8.32;-0.96
85;PFNL;(S)-5,5,6,6,6-pentafluoronorleucine;-5.03;0.86;-1.61;-7.17;-0.68
86;PFNV;(S)-4,4,5,5,5-pentafluoronorvaline;-3.3;2.22;2.59;-6.36;0.16
87;TCA;(3R)-1,4-thiazinane-3-carboxylic acid;-2.51;-0.54;0.58;1.61;-1.82
